A	9000	the first letter; one [indefinite_article]
AA	3811	a rough, cindery lava [n -S]
AB	2400	an abdominal muscle [n -S]
AEON	1500	an age [n -S]
AIA	900	a nursemaid [n -S]
AL	2100	an East Indian tree [n -S]
AN	8000	one; any [indefinite_article]
ANESTRI	500	plural of anestrus [n]
ANT	3000	a small insect [n -S]
ANTSIER	400	comparative of antsy [adj]
APT	2900	suitable [adj]
AQUA	900	water [n -S, -E]
ART	3100	skill in making things [n -S]
AT	8800	in, on or near [prep]
ATE	3300	past tense of eat [v]
AUDIO	2000	sound [n -S]
AUNT	2600	a parent's sister [n -S]
AVERAGE	2500	typical [adj] / to find a mean [v -ED, -ING, -S]
AX	2500	to cut with a blade [v -ED, -ING, -S]
AXLE	1700	a shaft for a wheel [n -S]
BA	1500	the soul in old Egyptian belief [n -S]
BATH	2900	a wash [n -S]
BATS	2500	plural of bat [n]
BIZARRE	1700	strange [adj]
COUNTERPROPOSAL	100	an alternative proposal [n -S]
DATA	3000	facts [n]
EAT	3300	to consume food [v -ED, -ING, -S]
EAU	1200	water [n -S]
EL	1400	an elevated railway [n -S]
ETA	1100	a Greek letter [n -S]
EX	2600	to cross out [v -ED, -ING, -S]
EXIT	2104	a way out [n -S] / to go out [v -ED, -ING, -S]
FIZZ	1900	to effervesce [v -ED, -ING, -ES]
IN	8700	inside [prep] / to harvest [v -ED, -ING, -S]
IS	8600	a form of to be [v]
IT	8500	that thing [pron]
JAZZ	2200	a style of music [n -ES]
JUKEBOX	1500	a coin-operated player [n -ES]
LA	1900	the sixth note of a scale [n -S]
LATE	3200	tardy [adj]
LAX	2200	slack [adj]
LEX	1300	a law [n LEGES]
LOX	1600	smoked salmon [n -ES]
LUX	1000	a unit of illumination [n -S]
MATE	3000	a partner [n -S]
MEAT	3000	animal flesh [n -S]
NASTIER	1900	comparative of nasty [adj]
NAT	800	a nationalist [n -S]
NEXT	3100	following [adj]
NO	8400	a refusal [n -S] / not so [interj]
OAT	2300	a cereal grass [n -S]
OATS	2300	plural of oat [n]
OBOE	1400	a woodwind [n -S]
ON	8300	upon [prep]
OR	8200	either; otherwise [conj]
OVATION	1400	applause [n -S]
OVERSIMPLIFYING	50	present participle of oversimplify [v]
OX	3000	a large bovine [n -S]
OXEN	1700	plural of ox [n]
PART	3100	a portion [n -S]
PAT	2800	to tap lightly [v -ED, -ING, -S]
PI	2700	a Greek letter [n -S]
PIEZO	800	pressure-electric [adj]
PIZZA	2300	a baked dish [n -S]
PORT	2800	a harbour [n -S]
PRIZE	2400	a reward [n -S]
QAT	4200	an evergreen shrub [n -S]
QATS	3000	plural of qat [n]
QI	542388	the vital force in Chinese thought [n -S]
QIS	3900	plural of qi [n]
QOPH	1200	a Hebrew letter [n -S]
QUALITY	2200	a characteristic [n -TIES]
QUAY	1600	a wharf [n -S]
QUEEN	2600	a female monarch [n -S]
QUEENS	2000	plural of queen [n]
QUESTION	2800	an inquiry [n -S]
QUICKEN	1300	to hasten [v -ED, -ING, -S]
QUIT	2600	to stop [v QUIT or QUITTED, QUITTING, QUITS]
QUIZ	2500	to question [v -ZED, -ZING, -ZES]
QUIZZED	1000	past tense of quiz [v]
RAPT	1300	engrossed [adj]
RAT	3400	a rodent [n -S]
RATINES	300	plural of ratine [n]
RETAINS	2100	keeps [v]
RETINAS	1700	plural of retina [n]
RETSINA	600	a Greek wine [n -S]
SAX	1700	a saxophone [n -ES]
SEA	3500	a body of salt water [n -S]
SEX	2100	to determine the sex of [v -ED, -ING, -S]
SEXT	700	a canonical hour [n -S]
SO	8100	in this way [adv]
SPORT	2900	a game [n -S]
SPORTS	2400	plural of sport [n]
SQUEEZE	1600	to press [v -ED, -ING, -S]
STAB	2200	to pierce [v -ED, -ING, -S]
STAINER	800	one that stains [n -S]
STEARIN	500	a fat [n -S]
SWAMIS	600	plural of swami [n]
SWAMP	1800	a marsh [n -S]
SWAMPS	1300	plural of swamp [n]
TA	2000	thanks [interj]
TABS	2000	plural of tab [n]
TACO	1900	a filled tortilla [n -S]
TALE	2700	a story [n -S]
TAME	2600	docile [adj] / to subdue [v -ED, -ING, -S]
