A[NY]S	3000	anys: years [n]
A[NY]	3500	any: a year [n -S]
[QU]E	9000	que: that [conj]
[QU]I	8500	qui: who [pron]
[QU]AN	7000	quan: when [adv]
A[QU]ELL	4000	aquell: that one [pron]
CEL[L·L]A	1200	cel·la: a cell [n -S]
PARAL[L·L]EL	900	paral·lel: parallel [adj]
BRAÇ	2500	braç: an arm [n -S]
FAÇANA	1500	façana: a facade [n -S]
PLAÇA	2800	plaça: a square [n -S]
CAÇA	1800	caça: a hunt [n -S]
CA[NY]A	1400	canya: a reed [n -S]
BA[NY]A	1100	banya: a horn [n -S]
SA[NY]A	700	sanya: fury [n -S]
PA[NY]	1000	pany: a lock [n -S]
LLA[NY]	900	llany: a made-up word [n -S]
CASA	6000	casa: a house [n -S]
SAC	2000	sac: a sack [n -S]
CAS	2200	cas: a case [n -S]
ACA	100	a made-up word [n -S]
ESCA	300	esca: bait [n -S]
[QU]E[L·L]A	50	a made-up word [n -S]
[QU][L·L][NY]A[QU][L·L][NY]E[QU][L·L][NY]I[QU][L·L][NY]	10	a made-up fifteen-tile word [n -S]
[L·L][NY][QU]A[L·L][NY][QU]E[L·L][NY][QU]I[L·L][NY][QU]	11	another made-up fifteen-tile word [n -S]
[NY][QU][L·L]A[NY][QU][L·L]E[NY][QU][L·L]I[NY][QU][L·L]	12	a third made-up fifteen-tile word [n -S]
ÇAÇAÇAÇAÇAÇAÇAÇ	13	a made-up fifteen-tile word of Ç and A [n -S]
